runs_id,service_id,start_trip_id,start_stop_id,end_trip_id,end_stop_id,run_number,piece_number
1-1,1,418,1921407,432,1892303,101,1
2-1,1,122,2010399,153,2010399,102,1
3-1,1,402,1921407,417,1921407,103,1
4-1,1,539,2010399,554,2010399,104,1
5-1,1,514,2026554,524,2026554,105,1
6-1,1,1,1921407,15,2010400,106,1
7-1,1,93,1921828,121,2010399,107,1
8-1,1,611,1891640,625,1891781,108,1
9-1,1,462,2026554,469,2027091,109 A,1
9-1,1,74,1891640,77,1892346,109 B,2
10-1,1,31,1892303,48,1892303,110 A,1
10-1,1,244,1892303,255,1892303,110 B,2
11-1,1,307,1892303,324,1892303,111 A,1
11-1,1,534,2026554,538,2026554,111 B,2
12-1,1,686,1892303,689,1892303,112 A,1
12-1,1,559,2010399,568,2010399,112 B,2
13-1,1,733,1892303,735,2010400,113,1
14-1,1,154,1892303,175,1892303,114 A,1
14-1,1,555,2010399,558,2010399,114 B,2
15-1,1,78,1891640,85,1892346,115 A,1
15-1,1,325,1892303,337,1891640,115 B,2
16-1,1,300,1891640,306,1892303,116 A,1
16-1,1,505,2027091,513,2027091,116 B,2
17-1,1,729,1892303,730,1892303,117 A,1
17-1,1,450,1921407,461,1921407,117 B,2
18-1,1,497,2027091,500,2026554,118,1
19-1,1,236,1892303,243,1892303,119 A,1
19-1,1,192,1892303,213,1892303,119 B,2
20-1,1,721,1892303,728,1892303,120 A,1
20-1,1,731,1892303,732,1892303,120 B,2
21-1,1,214,1892303,227,1892303,121 A,1
21-1,1,707,1892303,711,2010400,121 B,2
22-1,1,678,1892303,685,1892303,122 A,1
22-1,1,16,2010399,18,1921407,122 B,2
23-1,1,293,1892303,299,1891640,123 A,1
23-1,1,19,1921407,30,1921407,123 B,2
24-1,1,228,1892303,235,1892303,124 A,1
24-1,1,525,2026554,533,2026554,124 B,2
25-1,1,736,2010400,741,2010400,125,1
26-1,1,63,1891640,69,1892346,126 A,1
