trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint
1,1921407,1,05:45:00,05:45:00,1
1,1921408,2,05:46:00,05:46:00,0
1,1921409,3,05:52:00,05:52:00,0
1,1921410,4,05:53:00,05:53:00,0
1,2947356,5,05:53:00,05:53:00,0
1,1921412,6,05:56:00,05:56:00,0
1,1921413,7,05:57:00,05:57:00,0
1,1921414,8,05:57:00,05:57:00,1
1,1921415,9,06:00:00,06:00:00,0
1,1921416,10,06:02:00,06:02:00,0
1,1921417,11,06:03:00,06:03:00,0
1,1921418,12,06:03:00,06:03:00,0
1,1921419,13,06:05:00,06:05:00,0
1,1921420,14,06:06:00,06:06:00,0
1,1921421,15,06:07:00,06:07:00,0
1,1921422,16,06:08:00,06:08:00,0
1,1921423,17,06:09:00,06:09:00,0
1,1892663,18,06:10:00,06:10:00,0
1,1892664,19,06:11:00,06:11:00,0
1,2010400,20,06:12:00,06:12:00,1
2,2010399,1,06:15:00,06:15:00,1
2,1892633,2,06:15:00,06:15:00,0
2,1892634,3,06:16:00,06:16:00,0
2,4566663,4,06:17:00,06:17:00,0
2,4566664,5,06:18:00,06:18:00,0
2,1921768,6,06:19:00,06:19:00,0
2,1921769,7,06:19:00,06:19:00,0
2,1921770,8,06:20:00,06:20:00,0
2,1921771,9,06:20:00,06:20:00,0
2,1921772,10,06:21:00,06:21:00,0
2,1921773,11,06:22:00,06:22:00,0
2,1921774,12,06:24:00,06:24:00,1
2,1921775,13,06:24:00,06:24:00,0
2,1921776,14,06:25:00,06:25:00,0
2,1921777,15,06:26:00,06:26:00,0
2,1921778,16,06:27:00,06:27:00,0
2,1921779,17,06:28:00,06:28:00,0
2,1921780,18,06:28:00,06:28:00,0
2,1921781,19,06:33:00,06:33:00,0
2,1921782,20,06:33:00,06:33:00,0
2,1921407,21,06:34:00,06:34:00,1
3,1921407,1,06:45:00,06:45:00,1
3,1921408,2,06:46:00,06:46:00,0
3,1921409,3,06:52:00,06:52:00,0
3,1921410,4,06:53:00,06:53:00,0
3,2947356,5,06:53:00,06:53:00,0
3,1921412,6,06:56:00,06:56:00,0
3,1921413,7,06:57:00,06:57:00,0
3,1921414,8,06:57:00,06:57:00,1
3,1921415,9,07:00:00,07:00:00,0
3,1921416,10,07:02:00,07:02:00,0
3,1921417,11,07:03:00,07:03:00,0
3,1921418,12,07:03:00,07:03:00,0
3,1921419,13,07:05:00,07:05:00,0
3,1921420,14,07:06:00,07:06:00,0
3,1921421,15,07:07:00,07:07:00,0
3,1921422,16,07:08:00,07:08:00,0
3,1921423,17,07:09:00,07:09:00,0
3,1892663,18,07:10:00,07:10:00,0
3,1892664,19,07:11:00,07:11:00,0
3,2010400,20,07:12:00,07:12:00,1
4,2010399,1,07:15:00,07:15:00,1
4,1892633,2,07:15:00,07:15:00,0
4,1892634,3,07:16:00,07:16:00,0
4,4566663,4,07:17:00,07:17:00,0
4,4566664,5,07:18:00,07:18:00,0
4,1921768,6,07:19:00,07:19:00,0
4,1921769,7,07:19:00,07:19:00,0
4,1921770,8,07:20:00,07:20:00,0
4,1921771,9,07:20:00,07:20:00,0
4,1921772,10,07:21:00,07:21:00,0
4,1921773,11,07:22:00,07:22:00,0
4,1921774,12,07:24:00,07:24:00,1
4,1921775,13,07:24:00,07:24:00,0
4,1921776,14,07:25:00,07:25:00,0
4,1921777,15,07:26:00,07:26:00,0
4,1921778,16,07:27:00,07:27:00,0
4,1921779,17,07:28:00,07:28:00,0
4,1921780,18,07:28:00,07:28:00,0
4,1921781,19,07:33:00,07:33:00,0
4,1921782,20,07:33:00,07:33:00,0
4,1921407,21,07:34:00,07:34:00,1
5,1921407,1,07:45:00,07:45:00,1
5,1921408,2,07:46:00,07:46:00,0
5,1921409,3,07:52:00,07:52:00,0
5,1921410,4,07:53:00,07:53:00,0
5,2947356,5,07:53:00,07:53:00,0
5,1921412,6,07:56:00,07:56:00,0
5,1921413,7,07:57:00,07:57:00,0
5,1921414,8,07:57:00,07:57:00,1
5,1921415,9,08:00:00,08:00:00,0
5,1921416,10,08:02:00,08:02:00,0
5,1921417,11,08:03:00,08:03:00,0
5,1921418,12,08:03:00,08:03:00,0
5,1921419,13,08:05:00,08:05:00,0
5,1921420,14,08:06:00,08:06:00,0
5,1921421,15,08:07:00,08:07:00,0
5,1921422,16,08:08:00,08:08:00,0
5,1921423,17,08:09:00,08:09:00,0
5,1892663,18,08:10:00,08:10:00,0
5,1892664,19,08:11:00,08:11:00,0
5,2010400,20,08:12:00,08:12:00,1
6,2010399,1,08:15:00,08:15:00,1
6,1892633,2,08:15:00,08:15:00,0
6,1892634,3,08:16:00,08:16:00,0
6,4566663,4,08:17:00,08:17:00,0
6,4566664,5,08:18:00,08:18:00,0
6,1921768,6,08:19:00,08:19:00,0
6,1921769,7,08:19:00,08:19:00,0
6,1921770,8,08:20:00,08:20:00,0
6,1921771,9,08:20:00,08:20:00,0
6,1921772,10,08:21:00,08:21:00,0
6,1921773,11,08:22:00,08:22:00,0
